id,social_media_id,company_id
404,2,143
405,4,143
406,3,143
407,2,144
408,4,144
409,3,144
410,1,145
411,2,145
412,2,145
413,3,145
414,1,146
415,3,146
416,1,147
417,4,147
418,3,147
419,2,148
420,4,148
421,3,148
422,1,149
423,2,149
424,4,149
425,3,149
426,1,150
427,1,151
428,2,151
429,3,151
430,1,152
431,3,152
432,1,153
433,2,153
434,4,153
435,3,153
436,4,154
437,2,154
438,4,154
439,3,154
440,1,155
441,4,155
442,3,155
443,2,156
444,2,157
445,4,157
446,3,157
447,1,158
448,2,158
449,4,158
450,3,158
451,1,159
452,2,159
453,4,159
454,3,159
455,1,160
456,2,160
457,4,160
458,3,160
459,3,161
460,2,162
461,3,162
462,1,163
463,2,163
464,4,163
465,3,163
466,3,164
467,1,165
468,2,165
469,4,165
470,3,165
471,1,166
472,2,166
473,4,166
474,3,166
475,1,167
476,2,167
477,4,167
478,3,167
479,1,168
480,3,168
481,1,169
482,2,169
483,1,170
484,4,170
485,3,170
486,1,171
487,2,171
488,1,172
489,2,172
490,4,172
491,3,172
492,1,173
493,2,173
494,4,173
495,3,173
496,1,174
497,2,174
498,4,174
499,3,174
500,1,175
501,2,175
502,4,175
503,3,175
504,1,176
505,2,176
506,3,176
507,1,177
508,2,177
509,3,177
510,2,178
511,4,178
512,3,178
513,2,179
514,3,179
515,1,180
516,2,180
517,4,180
518,1,181
519,2,181
520,3,181
521,1,182
522,2,182
523,3,182
524,1,183
525,2,183
526,4,183
527,3,183
528,1,185
529,2,185
530,3,185
531,3,186
532,1,187
533,2,187
534,4,187
535,3,187
536,1,188
537,2,188
538,4,188
539,3,188
540,1,189
541,2,189
542,3,189
543,1,190
544,2,190
545,3,190
546,1,191
547,2,191
548,4,191
549,3,191
550,1,192
551,2,192
552,4,192
553,3,192
554,3,193
555,1,194
556,2,194
557,3,194
558,1,195
559,2,195
560,4,195
561,3,195
562,1,196
563,2,196
564,4,196
565,3,196
566,1,197
567,2,197
568,4,197
569,3,197
570,1,198
571,4,198
572,3,198
573,1,199
574,2,199
575,3,199
576,1,200
577,2,200
578,4,200
579,3,200
580,1,201
581,2,201
582,4,201
583,3,201
584,1,202
585,1,203
586,2,203
587,4,203
588,3,203
589,1,204
590,2,204
591,4,204
592,3,204
593,2,206
594,3,206
595,1,207
596,2,207
597,4,207
598,3,207
599,3,208
600,1,209
601,2,209
602,4,209
603,3,209
604,1,210
605,2,210
606,4,210
607,3,211
608,1,212
609,2,212
610,1,213
611,2,213
612,3,213
613,1,214
614,2,214
615,1,215
616,2,215
617,4,215
618,3,215
619,1,216
620,2,216
621,3,216
622,2,217
623,4,217
624,3,217
625,3,218
626,1,219
627,2,219
628,4,219
629,3,219
