id,name,role,company_id
757,Fabio Fleitas,,370
758,"Carlos Vega, CEO",CEO,370
759,"Borna Safabakhsh, CEO",CEO,371
760,"Andy Moon, CEO",CEO,372
761,Aren Sandersen,Founder,373
762,Tony Lewis,,374
763,"Steve Albarran, CEO",CEO,374
764,Elton Chan,Director,375
765,Jackie Kong,Founder,375
766,Matt Li,Director,375
767,Tim Mak,Founder,375
768,"Chris Molozian, CEO",CEO,376
769,"Mo Firouz, COO",COO,376
770,"Andrei Mihu, CTO",CTO,376
771,Natasha Baker,CEO,377
772,Scott Montgomerie,Founder,378
773,David Nedohin,President,378
774,Neil Chudleigh,CTO,379
775,Bryn Jones,Founder,379
776,Jonathan Mendes,Designer,379
777,Luke Swanek,Founder,379
778,Jonathan Friedman,CEO,380
779,Ashley Wong,CEO,381
780,"Brett Hagler, CEO",CEO,382
781,Alexandria Lafci,,382
782,Matthew Marshall,,382
783,"Porter Braswell, CEO",CEO,383
784,"Ryan Williams, President",President,383
785,Saran Chari,Founder,384
786,Joe Greenstein,Zookeeper's Assistant,384
787,Semira Rahemtulla,Founder,384
788,Rehman Merali,,385
789,Jordan Brown,CEO,386
790,Eric Kreutzer,Founder,386
791,"Guillaume Luccisano, CTO",CTO,387
792,"Ammon Bartram, CEO",CEO,387
793,Brett Gibson,,388
794,Garry Tan,,388
795,"Jose M. Mejia Oneto, CEO",CEO,389
796,Neema Moraveji,Chief Scientist,390
797,Ben Yule,CTO,390
798,Jayant Kulkarni,CEO,391
799,Adam Regelmann,COO,391
800,Eugenia Kuyda,CEO,392
801,"Iba Masood, CEO",CEO,393
802,"Syed Ahmed, CTO",CTO,393
803,Kemar Newell,CEO,394
804,Sebastian Punyaratabandhu Bhakdi,,395
805,Prapat Suriyaphol,,395
806,Darwin Lo,Founder,396
807,"Nick Damiano, CEO",CEO,398
808,"Shreya Mehta, CTO",CTO,398
809,"Mark Datta, CEO",CEO,399
810,Loren Baxter,,400
811,"Arthur Chang, CEO",CEO,400
812,Andrew Ng,,400
813,Joe Pestro,,400
814,Alfonzo Brooks,CFLO,401
815,Frederick Hutson,CEO,401
816,Yan Ma,The Science Guy,402
817,Neil Mathew,CEO,402
818,Prasenjit Mukherjee,Founder,402
819,Aleem Mawani,Founder,403
820,"Rick Harrison, CTO",CTO,404
821,"David Hua, CEO",CEO,404
822,Scott A Garman,,404
823,"Harrison Lee, Designer, Developer",Developer,404
824,"Josh Hubball, CEO",CEO,405
825,Damian Sowers,,405
826,Liz Clarke,CTO,406
827,Derek Greenfield,CEO,406
828,Noah Helman,CSO,406
829,Allan Shin,CPO,407
830,Kevin Shin,Founder,407
831,Ayse Akcura,CEO,408
832,Tolga Akçura,Founder,408
833,Sandip Trivedi,Founder,409
834,William Baron,CEO,410
835,Mark Salpeter,CTO,410
836,Tom Harari,CEO,411
837,"Angel Alonso Say, CEO",CEO,412
838,Russell Varriale,,412
839,Ben Herila,CTO,413
840,Jeffrey Shaw,CEO,413
841,Bruno Didier,CEO,414
842,"Andres Felipe Diaz, CEO",CEO,415
843,Carlos Saavedra,,415
844,Roy Law,Founder,416
845,Ming Lo,CTO,416
846,Jon Yip,Founder,416
